"Scene","Line","Start","End","Duration","Audio file","Still","Narration"
"05","3","00:00:54.540","00:00:58.211","3.67s","02_audio/per-line/05_scene_line3_s5-l3.wav","03_scenes/states/05_scene_state3_s5-l3.png","And by February, actual market movement is available."
"05","4","00:00:59.030","00:01:03.399","4.37s","02_audio/per-line/05_scene_line4_s5-l4.wav","03_scenes/states/05_scene_state4_s5-l4.png","This brings the salary cycle closer to market best practice,"
"05","5","00:01:03.660","00:01:07.654","3.99s","02_audio/per-line/05_scene_line5_s5-l5.wav","03_scenes/states/05_scene_state5_s5-l5.png","so decisions rest on more relevant, actual information."
"06","1","00:01:08.800","00:01:13.700","4.90s","02_audio/per-line/06_scene_line1_s6-l1.wav","03_scenes/states/06_scene_state1_s6-l1.png","Merit increases and promotions will take effect on April 1."
"06","2","00:01:14.430","00:01:16.780","2.35s","02_audio/per-line/06_scene_line2_s6-l2.wav","03_scenes/states/06_scene_state2_s6-l2.png","That's where the cycle now begins."
"07","1","00:01:17.960","00:01:21.405","3.45s","02_audio/per-line/07_scene_line1_s7-l1.wav","03_scenes/states/07_scene_state1_s7-l1.png","And your bonus will be paid in the March payroll."
"07","2","00:01:22.120","00:01:24.896","2.78s","02_audio/per-line/07_scene_line2_s7-l2.wav","03_scenes/states/07_scene_state2_s7-l2.png","March is the last month of the cycle."
"08","1","00:01:25.960","00:01:28.502","2.54s","02_audio/per-line/08_scene_line1_s8-l1.wav","03_scenes/states/08_scene_state1_s8-l1.png","Now, one thing that isn't changing."
"08","2","00:01:29.110","00:01:32.752","3.64s","02_audio/per-line/08_scene_line2_s8-l2.wav","03_scenes/states/08_scene_state2_s8-l2.png","Your performance appraisal stays on the same schedule,"
"08","3","00:01:33.080","00:01:35.440","2.36s","02_audio/per-line/08_scene_line3_s8-l3.wav","03_scenes/states/08_scene_state3_s8-l3.png","and it'll still close in December."
"09","1","00:01:36.630","00:01:39.879","3.25s","02_audio/per-line/09_scene_line1_s9-l1.wav","03_scenes/states/09_scene_state1_s9-l1.png","There's one more thing, and it happens only once."
"09","2","00:01:40.570","00:01:47.563","6.99s","02_audio/per-line/09_scene_line2_s9-l2.wav","03_scenes/states/09_scene_state2_s9-l2.png","During the implementation year only, the merit calculation will cover 15 months instead of 12."
"09","3","00:01:48.490","00:01:53.292","4.80s","02_audio/per-line/09_scene_line3_s9-l3.wav","03_scenes/states/09_scene_state3_s9-l3.png","As an illustrative example, if your merit increase is 5%,"
"09","4","00:01:53.620","00:02:00.410","6.79s","02_audio/per-line/09_scene_line4_s9-l4.wav","03_scenes/states/09_scene_state4_s9-l4.png","that's 5% divided by 12, which is 0.4167% a month."
"09","5","00:02:00.720","00:02:03.374","2.65s","02_audio/per-line/09_scene_line5_s9-l5.wav","03_scenes/states/09_scene_state5_s9-l5.png","Multiply that by 15 months,"
"09","6","00:02:03.650","00:02:07.864","4.21s","02_audio/per-line/09_scene_line6_s9-l6.wav","03_scenes/states/09_scene_state6_s9-l6.png","and the equivalent becomes 6.25%."
"09","7","00:02:08.690","00:02:14.279","5.59s","02_audio/per-line/09_scene_line7_s9-l7.wav","03_scenes/states/09_scene_state7_s9-l7.png","The merit percentage itself hasn't changed - only the number of months it covers."
"10","1","00:02:15.550","00:02:17.680","2.13s","02_audio/per-line/10_scene_line1_s10-l1.wav","03_scenes/states/10_scene_state1_s10-l1.png","So - April to March."
"10","2","00:02:18.420","00:02:20.134","1.71s","02_audio/per-line/10_scene_line2_s10-l2.wav","03_scenes/states/10_scene_state2_s10-l2.png","That's the one to remember."
"11","1","00:02:21.330","00:02:22.740","1.41s","02_audio/per-line/11_scene_line1_s11-l1.wav","03_scenes/states/11_scene_state1_s11-l1.png","Have questions?"
"11","2","00:02:23.420","00:02:27.087","3.67s","02_audio/per-line/11_scene_line2_s11-l2.wav","03_scenes/states/11_scene_state2_s11-l2.png","Please contact your HR personnel for support."
